match,round,winner,reason,tick,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill,t_win,ct_win,awp_kills_log,pistol_kills_log,smg_kills_log,smoke_kills_log,wallbang_kills_log,assisted_kills_log,avg_kill_distance_log,min_kill_distance_log,total_kills_scaled,headshot_kills_scaled,headshot_rate_scaled,rifle_kills_scaled,awp_kills_scaled,pistol_kills_scaled,smg_kills_scaled,smoke_kills_scaled,noscope_kills_scaled,wallbang_kills_scaled,assisted_kills_scaled,avg_kill_distance_scaled,max_kill_distance_scaled,min_kill_distance_scaled,total_damage_scaled,avg_damage_per_kill_scaled,total_kills_norm,headshot_kills_norm,headshot_rate_norm,rifle_kills_norm,awp_kills_norm,pistol_kills_norm,smg_kills_norm,smoke_kills_norm,noscope_kills_norm,wallbang_kills_norm,assisted_kills_norm,avg_kill_distance_norm,max_kill_distance_norm,min_kill_distance_norm,total_damage_norm,avg_damage_per_kill_norm
3dmax-vs-falcons-m3-nuke,1,CT,bomb_defused,5627.0,8,8,1.0,0,0,4,0,0,0,0,0,12.60995125,32.02267,7.272682,938,117.25,0,1,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,2.6108012347319045,2.1129587611760328,0.9538396755127555,2.473419533086742,1.8537637561035376,-1.835853380341903,-0.7081974910453573,1.853272478796588,-0.4032616876259697,-0.773915922626406,0.0,-0.4566296511374095,-0.5043976220510383,-0.9448600178056717,0.19331460121596963,-0.13402117360299282,1.8369991181124738,1.4040793148497426,0.8571428571428571,1.0,1.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.12968960800303198,0.4408323384349599,0.2371546998041739,0.8457609805924413,0.8175594039468385
3dmax-vs-falcons-m3-nuke,2,T,bomb_exploded,15355.0,3,2,0.6666666666666666,3,0,0,0,0,0,1,0,15.25219066666667,23.017326,9.899533,227,75.66666666666667,1,0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,2.788227709946071,2.388719944280569,-1.990621931504881,-0.6718841119728165,0.597331835586059,-0.519231259086599,-0.7081974910453573,-0.43511614719572067,-0.4032616876259697,-0.773915922626406,0.0,1.8591350082023104,-0.5043976220510383,-0.4334973398040448,-0.858053992604479,0.43594138292608015,-1.4219554586380374,-0.3306357164230943,0.14285714285714285,0.25,0.6666666666666666,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.22604365736653576,0.1909652166066806,0.3510472598685751,0.1195097037793667,0.4156262585581958
3dmax-vs-falcons-m3-nuke,3,T,bomb_exploded,23971.0,2,1,0.5,2,0,0,0,0,0,0,0,36.4757715,52.17537,20.776173,159,79.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.6236946308347897,3.0808163904036365,-2.5795142529084085,-1.1961013861494096,-0.030884124672680147,-0.9581052995050336,-0.7081974910453573,-0.43511614719572067,-0.4032616876259697,-0.773915922626406,0.0,-0.4566296511374095,-0.5043976220510383,3.673983255352969,2.5461304248741623,2.7959068095324526,-1.7336416910136139,-0.1707221063257989,0.0,0.125,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.822626490856122,0.05005107252298263,0.4526782118405155
3dmax-vs-falcons-m3-nuke,4,T,ct_killed,32073.0,6,2,0.3333333333333333,6,0,0,0,1,0,0,1,18.663084666666666,31.805,7.294778,316,52.666666666666664,1,0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,2.978743003055688,2.115626160173962,-0.22394496729429908,-0.6718841119728165,-0.6591000849314195,0.7973908621687053,-0.7081974910453573,-0.43511614719572067,-0.4032616876259697,0.32504468750309057,0.0,-0.4566296511374095,0.9877786765166167,0.2266259931602666,0.1679017572627686,-0.129226880874145,-1.0140131839111803,-1.2901173770068683,0.5714285714285714,0.25,0.3333333333333333,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3504280892906849,0.4347927494522002,0.23811271760083727,0.21041879468845764,0.19331453886427707
3dmax-vs-falcons-m3-nuke,5,T,bomb_exploded,40986.0,5,3,0.6,5,0,0,0,0,0,0,0,9.63719742,17.81399,6.2665195,463,92.6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.364357048841587,1.9832774286282753,-0.8128372886978265,-0.14766683779622344,0.3460454514825633,0.35851682175027055,-0.7081974910453573,-0.43511614719572067,-0.4032616876259697,-0.773915922626406,0.0,-0.4566296511374095,-0.5043976220510383,-1.5201884115763442,-1.4655403977318477,-0.352333879875135,-0.34022088745221374,0.3757652742675676,0.4285714285714285,0.375,0.6,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021282751502979813,0.0465906552100841,0.193530442864668,0.36057201225740554,0.5792992347966169
3dmax-vs-falcons-m3-nuke,6,T,bomb_exploded,53694.0,3,0,0.0,0,2,0,1,1,0,0,0,32.91385233333333,40.390366,24.867167,232,77.33333333333333,1,0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,3.5238235543247614,3.252974481117499,-1.990621931504881,-1.7203186603260028,-1.915532005448898,-1.835853380341903,1.0560839778746556,-0.43511614719572067,0.7897208049341907,0.32504468750309057,0.0,-0.4566296511374095,-0.5043976220510383,2.984631445519692,1.1702381676046605,3.6835526634408384,-1.3990373533163039,-0.2611080598590531,0.14285714285714285,0.0,0.0,0.0,0.4,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.8701081616416187,0.6730069356356894,1.0,0.12461695607763024,0.4317358034635521
3dmax-vs-falcons-m3-nuke,7,T,bomb_exploded,61507.0,6,1,0.16666666666666666,4,2,0,0,2,0,0,0,25.861658666666667,43.686237,13.010433,435,72.5,1,0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.0,0.0,3.290699941484352,2.6398022663666803,-0.22394496729429908,-1.1961013861494096,-1.2873160451901589,-0.0803572186681642,1.0560839778746556,-0.43511614719572067,-0.4032616876259697,1.424005297632587,0.0,-0.4566296511374095,-0.5043976220510383,1.6197934916138215,1.5550291604510853,1.1109307588390243,-0.46856227725392163,-0.46273826389477346,0.5714285714285714,0.125,0.16666666666666666,0.5,0.4,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.612937137550159,0.7644559464327554,0.4859267658262202,0.3319713993871297,0.38501812323801854
3dmax-vs-falcons-m3-nuke,8,T,bomb_exploded,68223.0,4,1,0.25,3,1,0,0,1,0,0,0,28.0891385,36.239204,19.948154,323,80.75,1,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,3.3703648570806095,3.0420505279273584,-1.4017296101013537,-1.1961013861494096,-0.973208065060789,-0.519231259086599,0.17394324341464915,-0.43511614719572067,-0.4032616876259697,0.32504468750309057,0.0,-0.4566296511374095,-0.5043976220510383,2.0508861645877663,0.6855924556073306,2.616246895020877,-0.9819278364607532,-0.11857636390276771,0.2857142857142857,0.125,0.25,0.375,0.2,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.694166226959465,0.5578265603848469,0.7867260139383352,0.21756894790602654,0.4647603705195328
3dmax-vs-falcons-m3-nuke,9,CT,t_killed,75744.0,8,2,0.25,7,0,1,0,1,0,1,0,15.098716000000001,30.40255,3.172948,363,45.375,0,1,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,2.778739517257298,1.4286227404725858,0.9538396755127555,-0.6718841119728165,-0.973208065060789,1.23626490258714,-0.7081974910453573,0.13698100930235652,-0.4032616876259697,0.32504468750309057,0.0,1.8591350082023104,-0.5043976220510383,-0.4631998777561441,0.0041665479910864885,-1.0235633942044513,-0.7985829938868848,-1.59430087447455,0.8571428571428571,0.25,0.25,0.875,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.5,0.0,0.22044692547510747,0.39587961687136036,0.05940224987722037,0.25842696629213485,0.12283527990334275
3dmax-vs-falcons-m3-nuke,10,T,bomb_exploded,86844.0,4,3,0.75,3,1,0,0,0,0,1,0,25.79399875,43.651573,11.816766,490,122.5,1,0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.0,3.2881779352025573,2.550754157578607,-1.4017296101013537,-0.14766683779622344,0.9114398157154288,-0.519231259086599,0.17394324341464915,-0.43511614719572067,-0.4032616876259697,-0.773915922626406,0.0,1.8591350082023104,-0.5043976220510383,1.606699009727815,1.550982158922194,0.851934152269261,-0.21646311871485258,1.6230914330264736,0.2857142857142857,0.375,0.75,0.375,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.6104697960559294,0.7634941404305575,0.4341728633420695,0.38815117466802856,0.8683044703987112
