match,round,winner,reason,tick,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill,t_win,ct_win
3dmax-vs-falcons-m2-ancient,5,T,bomb_exploded,25685.0,5,4,0.8,4,0,1,0,0,0,0,1,11.091454899999999,22.765783,1.8913509,527,105.4,1,0
3dmax-vs-falcons-m2-ancient,6,T,bomb_exploded,36212.0,5,1,0.2,3,2,0,0,0,0,0,0,19.4656208,35.960632,8.412447,392,78.4,1,0
3dmax-vs-falcons-m2-ancient,7,T,bomb_exploded,49640.0,5,1,0.2,4,1,0,0,0,0,0,2,16.8169811,23.538618,11.137295,338,67.6,1,0
3dmax-vs-falcons-m2-ancient,8,T,ct_killed,55204.0,8,3,0.375,5,3,0,0,0,0,0,0,19.705292875,35.006695,6.491922,749,93.625,1,0
3dmax-vs-falcons-m2-ancient,9,CT,t_killed,62135.0,8,1,0.125,4,2,1,1,1,0,0,0,14.132874724999999,25.830168,4.0783453,458,57.25,0,1
3dmax-vs-falcons-m2-ancient,10,T,bomb_exploded,69656.0,5,5,1.0,5,0,0,0,1,0,0,0,12.52614674,17.617863,3.3461652,592,118.4,1,0
3dmax-vs-falcons-m2-ancient,11,T,bomb_exploded,82133.0,8,4,0.5,6,1,0,1,0,0,1,1,15.70203,29.124176,8.801262,703,87.875,1,0
3dmax-vs-falcons-m2-ancient,12,T,ct_killed,88911.0,8,2,0.25,3,5,0,0,0,0,0,2,18.058246750000002,39.23526,9.28555,1089,136.125,1,0
3dmax-vs-falcons-m2-ancient,13,T,ct_killed,112357.0,9,8,0.8888888888888888,0,0,9,0,0,0,0,0,18.585644777777773,36.23433,8.4821825,888,98.66666666666667,1,0
3dmax-vs-falcons-m2-ancient,14,T,ct_killed,118696.0,6,2,0.3333333333333333,1,0,1,4,2,0,0,0,19.191849233333333,39.094486,4.6226974,334,55.666666666666664,1,0
3dmax-vs-falcons-m2-ancient,15,T,bomb_exploded,125367.0,3,1,0.3333333333333333,2,0,0,1,0,0,0,0,15.2639165,28.55374,4.1223645,110,36.666666666666664,1,0
3dmax-vs-falcons-m2-ancient,16,T,ct_killed,134410.0,7,3,0.42857142857142855,6,0,1,0,0,0,0,0,11.472976714285712,16.238426,8.390616,422,60.285714285714285,1,0
