attacker_steamid,player_name,overall_kd,headshot_pct,avg_kill_distance,kills_per_match,deaths_per_match,kd_ratio_std,matches_played
76561197991593267,sausoL,0.015384615384615385,0.13857228554289142,0.3998782483807781,0.0,0.0819672131147541,0.19999999999999998,0.0
76561197998197366,mopoz,0.10728205128205126,0.7786442711457711,0.0,0.03125,0.0737704918032787,0.15714285714285714,0.0
76561198003142163,⑳ ⦻ ★ woody,0.19211045364891516,0.0,1.0,0.3020833333333333,0.27049180327868855,0.05714285714285714,0.0
76561198025578864,⑲ ✓ PKL,0.14965034965034968,0.30773845230953817,0.548023908226668,0.3020833333333333,0.3114754098360656,0.2571428571428571,0.0
76561198028790343,paz,0.16048582995951416,0.34553089382123586,0.5945873897104562,0.2604166666666667,0.26229508196721313,0.014285714285714285,0.0
76561198029203966,⑳ ⦻ naitte,0.0,0.4109178164367126,0.5277060120850042,0.5312499999999999,1.0,0.09047619047619047,0.0
76561198039986599,⑳ 🜲 ★ coldzeraa,0.22543589743589748,0.3881223755248951,0.7009293583983203,0.23958333333333331,0.19672131147540986,0.12380952380952381,0.0
76561198063336407,Spinx,0.3304615384615385,0.11517696460707866,0.5759333853138464,0.05208333333333333,0.03278688524590165,1.0,0.0
76561198138828475,Brollan,0.38735042735042735,0.19856028794241154,0.3910116546038046,0.05208333333333333,0.02459016393442623,0.9571428571428571,0.0
76561198141667219,lasfas,0.35817663817663825,0.12597480503899222,0.8557496073855564,0.3020833333333333,0.17213114754098363,0.033333333333333326,0.0
76561198186361079,FinigaN,0.06720647773279351,0.35212957408518303,0.5839909254941305,0.16666666666666669,0.26229508196721313,0.07619047619047618,0.0
76561198193174134,xertioN,0.9999999999999999,0.2897420515896821,0.48367453865856536,0.10416666666666667,0.0,0.7999999999999999,0.0
76561198201457085,⑳ ✓ xureba,0.23062611806797856,0.3689262147570485,0.5865497860944457,0.3854166666666667,0.30327868852459017,0.1142857142857143,0.0
76561198242601266,⑳ ✓ detr0ittJ,0.8030769230769231,0.662267546490702,0.7824213785167244,0.9583333333333331,0.27868852459016397,0.6047619047619048,0.0
76561198249302730,⑳ 🜲 hardzao,0.7286837606837606,1.0000000000000002,0.30367229685115593,0.9999999999999999,0.319672131147541,0.5619047619047619,0.0
76561198253891911,shield,0.23771712158808933,0.21655668866226757,0.7563537025407994,0.2604166666666667,0.20491803278688525,0.11904761904761907,0.0
76561198257770857,⑳ ⦻ ksloks,0.08767283349561827,0.346130773845231,0.6578761933022175,0.4791666666666667,0.598360655737705,0.0,0.0
76561198262803490,⑳ ✓ ★ Ceruttera,0.08874811463046756,0.3419316136772645,0.6014404420114544,0.28125,0.36885245901639346,0.0,0.0
76561198276486363,Banjo,0.39017369727047146,0.25974805038992205,0.3445902404588427,0.3854166666666667,0.20491803278688525,0.19999999999999998,0.0
76561198327068178,soulfly,0.09415384615384614,0.37612477504499103,0.7118758200763402,0.20833333333333331,0.27868852459016397,0.07142857142857144,0.0
76561198800147622,AquaRS,0.2019433198380567,0.4133173365326935,0.3889363458395495,0.3020833333333333,0.26229508196721313,0.004761904761904761,0.0
76561198855375325,Jimpphat,0.2839160839160839,0.38032393521295743,0.5325481502091947,0.05208333333333333,0.04098360655737705,0.3285714285714285,0.0
76561198922682627,⑳ ✓ lukiz,0.16755244755244753,0.6754649070185963,0.9451002141668674,0.3229166666666667,0.3114754098360656,0.2809523809523809,0.0
76561198965249056,TriBorgg1,0.2348131868131868,0.1601679664067187,0.5987069175321469,0.3020833333333333,0.23770491803278693,0.023809523809523808,0.0
76561199012381348,F0R3VER,0.37230769230769234,0.4739052189562087,0.5817806714324207,0.3854166666666667,0.21311475409836067,0.05238095238095238,0.0
76561199228548850,turbo,0.06461538461538463,0.7126574685062987,0.5946501615543001,0.12499999999999999,0.21311475409836067,0.10952380952380952,0.0
