tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name,total_kills,headshot_kills,avg_kill_distance,kill_distance_std,max_kill_distance,total_damage,most_common_weapon,smoke_kills,wallbang_kills,noscope_kills,first_kill_tick,last_kill_tick,headshot_rate,kill_duration,kill_tempo,first_kill_attacker_name,first_kill_weapon,first_kill_headshot,awp_kills,t_win,ct_win,prev_t_win,prev_ct_win,t_win_streak,t_score,ct_score,score_diff
132009,T,ct_killed,T,17,122730,132009,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,5.0,13.598367125,5.59922930201772,20.098042,544.0,ak47,0.0,0.0,0.0,129333.0,132009.0,0.625,2676.0,2.9895366218236172,p3kko,mp9,True,0.0,1,0,0.0,1.0,1.0,7.0,9.0,-2.0
138761,CT,t_killed,CT,18,132009,138761,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,3.0,18.245338,7.596846766427852,33.11906,717.0,awp,2.0,1.0,0.0,137300.0,138761.0,0.42857142857142855,1461.0,4.7912388774811765,puuha,m4a1,False,2.0,0,1,1.0,0.0,0.0,7.0,10.0,-3.0
145744,CT,t_killed,CT,19,138761,145744,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,1.0,30.510535600000004,16.146409976816653,51.741882,494.0,awp,0.0,0.0,0.0,144509.0,145744.0,0.2,1235.0,4.048582995951417,ottob,awp,False,3.0,0,1,0.0,1.0,0.0,7.0,11.0,-4.0
155509,T,ct_killed,T,20,145744,155509,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,3.0,15.84160345,11.94859416977379,36.841766,936.0,ak47,0.0,1.0,0.0,148830.0,155509.0,0.375,6679.0,1.1977840994160802,sirah,ak47,False,2.0,1,0,0.0,1.0,1.0,8.0,11.0,-3.0
163230,CT,t_killed,CT,21,155509,163230,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,6.0,3.0,17.204159166666667,2.8784142538186144,22.368984,321.0,m4a1,0.0,0.0,0.0,162767.0,163230.0,0.5,463.0,12.958963282937365,p3kko,m4a1,True,0.0,0,1,1.0,0.0,0.0,8.0,12.0,-4.0
169091,CT,t_killed,CT,22,163230,169091,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,2.0,20.4066656,10.24144020780226,36.612293,399.0,m4a1,1.0,1.0,0.0,166403.0,169091.0,0.4,2688.0,1.8601190476190474,Uli,ak47,True,1.0,0,1,0.0,1.0,0.0,8.0,13.0,-5.0
175052,T,ct_killed,T,23,169091,175052,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,3.0,16.5460293,11.36626896825551,32.473194,377.0,ak47,0.0,0.0,0.0,172260.0,175052.0,0.6,2792.0,1.7908309455587395,nut nut,ak47,False,0.0,1,0,0.0,1.0,1.0,9.0,13.0,-4.0
185037,T,bomb_exploded,T,24,175052,185037,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,3.0,23.70098,13.565058105445642,46.84651,501.0,ak47,1.0,0.0,0.0,179087.0,181906.0,0.6,2819.0,1.77367860943597,puuha,awp,False,1.0,1,0,1.0,0.0,2.0,10.0,13.0,-3.0
191967,T,bomb_exploded,T,25,185037,191967,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass,6.0,4.0,11.044537416666666,3.2233123949843336,15.001179,982.0,ak47,0.0,0.0,1.0,188352.0,191883.0,0.6666666666666666,3531.0,1.6992353440951573,sirah,ak47,True,2.0,1,0,1.0,0.0,3.0,11.0,13.0,-2.0
199225,T,ct_killed,T,26,191967,199225,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,5.0,16.435181714285715,8.642363350617154,28.493246,823.0,ak47,1.0,1.0,0.0,191994.0,199225.0,0.7142857142857143,7231.0,0.968054211035818,ottob,awp,False,2.0,1,0,1.0,0.0,4.0,12.0,13.0,-1.0
208522,CT,bomb_defused,CT,27,199225,208522,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,9.0,4.0,12.824567444444446,5.821088262724401,26.643139,696.0,ak47,0.0,0.0,0.0,202340.0,208123.0,0.4444444444444444,5783.0,1.5562856648798202,ottob,awp,False,1.0,0,1,1.0,0.0,0.0,12.0,14.0,-2.0
215963,CT,t_killed,CT,28,208522,215963,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,2.0,9.390383985714285,6.291514157804682,22.636871,500.0,m4a1,0.0,0.0,0.0,214681.0,215963.0,0.2857142857142857,1282.0,5.46021840873635,TMB,ak47,True,2.0,0,1,0.0,1.0,0.0,12.0,15.0,-3.0
225214,CT,bomb_defused,CT,29,215963,225214,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,4.0,23.200205085714284,12.040733380021466,35.2628,571.0,ak47,0.0,0.0,0.0,221969.0,224804.0,0.5714285714285714,2835.0,2.4691358024691357,ottob,deagle,True,0.0,0,1,0.0,1.0,0.0,12.0,16.0,-4.0
232787,CT,t_killed,CT,30,225214,232787,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,1.0,22.240661080000002,14.101289293857409,37.502064,438.0,awp,0.0,0.0,0.0,229082.0,232787.0,0.2,3705.0,1.3495276653171389,acoR,awp,False,3.0,0,1,0.0,1.0,0.0,12.0,17.0,-5.0
242052,CT,bomb_defused,CT,31,232787,242052,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,4.0,19.12656122857143,10.182315066273592,37.921703,565.0,ak47,2.0,1.0,0.0,235765.0,241740.0,0.5714285714285714,5975.0,1.1715481171548119,sirah,ak47,False,1.0,0,1,0.0,1.0,0.0,12.0,18.0,-6.0
249178,CT,t_killed,CT,32,242052,249178,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,3.0,24.869543714285715,10.915677771415657,46.67684,589.0,ak47,0.0,0.0,0.0,245113.0,249178.0,0.42857142857142855,4065.0,1.7220172201722017,Anlelele,m4a1_silencer,False,2.0,0,1,0.0,1.0,0.0,12.0,19.0,-7.0
258763,T,ct_killed,T,33,249178,258763,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,6.0,3.0,12.371668999999999,7.313924762061884,25.921148,722.0,ak47,1.0,0.0,1.0,256494.0,258763.0,0.5,2269.0,2.644336712208021,p3kko,ak47,True,3.0,1,0,0.0,1.0,1.0,13.0,19.0,-6.0
265767,T,ct_killed,T,34,258763,265767,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,3.0,15.323074,9.271601378045704,30.72811,542.0,ak47,0.0,0.0,0.0,261993.0,265767.0,0.42857142857142855,3774.0,1.8547959724430312,sirah,m4a1_silencer,True,1.0,1,0,1.0,0.0,2.0,14.0,19.0,-5.0
274385,CT,bomb_defused,CT,35,265767,274385,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,2.0,17.2414415625,8.475017450107293,30.944427,411.0,ak47,1.0,0.0,0.0,268525.0,273942.0,0.25,5417.0,1.4768321949418497,acoR,awp,False,1.0,0,1,1.0,0.0,0.0,14.0,20.0,-6.0
0,0,0,0,1,0,0,False,False,False,ence-vs-1win-m1-train,de_train,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5076,CT,bomb_defused,CT,2,0,5076,True,True,False,ence-vs-1win-m1-train,de_train,6.0,5.0,11.206062766666667,7.234439048964209,24.95423,645.0,usp_silencer,0.0,0.0,0.0,3797.0,4303.0,0.8333333333333334,506.0,11.857707509881422,rigoN,usp_silencer,True,0.0,0,1,0.0,0.0,0.0,0.0,1.0,-1.0
14049,T,bomb_exploded,T,3,5076,14049,True,False,True,ence-vs-1win-m1-train,de_train,4.0,3.0,13.72738285,9.45140134832506,27.505272,346.0,deagle,0.0,0.0,0.0,7718.0,10626.0,0.75,2908.0,1.375515818431912,cronuss,tec9,True,0.0,1,0,0.0,1.0,1.0,1.0,1.0,0.0
