match_id,round_num,total_kills,headshot_rate,kill_tempo,avg_kill_distance,total_damage,smoke_kills,wallbang_kills,t_win
ecstatic-vs-havu-m3-overpass,2,0.04,0.0,0.03236262027743707,0.0,0.015420055474589817,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,3,0.05333333333333334,0.6252587991718427,0.007664856678121872,0.3662644197597281,0.03351981571153213,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,4,0.03333333333333333,0.46894409937888204,0.0011167654020835308,0.6746268735055136,0.025386676695971038,0.0,1.0,1
ecstatic-vs-havu-m3-overpass,5,0.04666666666666667,0.23447204968944102,0.002428070336583732,0.4250763685030714,0.02745522072305016,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,6,0.05333333333333334,0.4168391994478951,0.0011304450642919282,0.4338747655168567,0.024540454139438672,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,7,0.02,0.7034161490683231,0.003216488256851401,0.6310257928891553,0.017253537680409946,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,8,0.03333333333333333,0.6252587991718427,0.0008190942775325746,0.5506792021988579,0.021249588641812797,0.0,1.0,1
ecstatic-vs-havu-m3-overpass,9,0.05333333333333334,0.5210489993098689,0.001443754672026563,0.42239838462101525,0.03493018663908608,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,10,0.04,0.26796805678793256,0.004561536140052799,0.6456741112257071,0.013539560904517887,1.0,0.0,0
ecstatic-vs-havu-m3-overpass,11,0.026666666666666665,0.18757763975155284,0.00255538344725036,0.48478403560037,0.02298904611912933,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,12,0.04,0.26796805678793256,0.0015538389970225367,0.5097638543747471,0.019698180621503456,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,13,0.04666666666666667,0.5861801242236025,0.0024417297061197275,0.43104223046777107,0.029335715293122087,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,14,0.026666666666666665,0.5627329192546584,0.000934709306202851,0.3766133570748461,0.015232006017582622,2.0,0.0,1
ecstatic-vs-havu-m3-overpass,15,0.04666666666666667,0.8206521739130436,0.0019562300799464485,0.598872011572966,0.03535329791735226,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,16,0.03333333333333333,0.6252587991718427,0.0040669523825102635,0.9372866622162983,0.017958723144186922,0.0,1.0,0
ecstatic-vs-havu-m3-overpass,17,0.04666666666666667,0.5861801242236025,0.0026311943932526972,0.39531517143766515,0.022895021390625735,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,18,0.04,0.40195208518189884,0.004433544210821819,0.5419692522411742,0.031028160406186826,2.0,1.0,0
ecstatic-vs-havu-m3-overpass,19,0.026666666666666665,0.18757763975155284,0.0036906214063525083,0.9290474862749533,0.02054440317803582,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,20,0.04666666666666667,0.35170807453416153,0.0008387978850340669,0.46610962445173026,0.041323868177330636,0.0,1.0,1
ecstatic-vs-havu-m3-overpass,21,0.03333333333333333,0.46894409937888204,0.012604204232977442,0.5091106161829979,0.01241126416247473,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,22,0.026666666666666665,0.3751552795031057,0.0015013708874903418,0.6101787420398926,0.01607822857411499,1.0,1.0,0
ecstatic-vs-havu-m3-overpass,23,0.026666666666666665,0.5627329192546584,0.001432057882127794,0.4883406494150577,0.01504395656057543,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,24,0.026666666666666665,0.5627329192546584,0.0014148993811686692,0.7141442419763998,0.02087348972779841,1.0,0.0,1
ecstatic-vs-havu-m3-overpass,25,0.03333333333333333,0.6252587991718427,0.0013404293596737495,0.3147186799857323,0.043486436932913354,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,26,0.04,0.6699201419698315,0.0006089854278912939,0.4848424026582999,0.03601147101687744,1.0,1.0,1
ecstatic-vs-havu-m3-overpass,27,0.05333333333333334,0.4168391994478951,0.001197428301953868,0.37089477287471445,0.030040900756899067,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,28,0.04,0.26796805678793256,0.005102764184504534,0.2625151354725999,0.020826477363546612,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,29,0.04,0.5359361135758651,0.0021106065331436726,0.6983402512220941,0.024164355225424285,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,30,0.026666666666666665,0.18757763975155284,0.0009905959901095611,0.6680579344325479,0.01791171077993512,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,31,0.04,0.5359361135758651,0.0008125524731221606,0.5697798381142443,0.023882281039913498,2.0,1.0,0
ecstatic-vs-havu-m3-overpass,32,0.04,0.40195208518189884,0.0013632194239379238,0.7510230264553117,0.025010577781956655,0.0,0.0,0
ecstatic-vs-havu-m3-overpass,33,0.03333333333333333,0.46894409937888204,0.002285870413018529,0.35660171900070253,0.03126322222744582,1.0,0.0,1
ecstatic-vs-havu-m3-overpass,34,0.04,0.40195208518189884,0.001496045899112116,0.4497453170556141,0.02280099666212214,0.0,0.0,1
ecstatic-vs-havu-m3-overpass,35,0.04666666666666667,0.23447204968944102,0.0011179462751104978,0.5102872139362795,0.01664237694513657,1.0,0.0,0
ence-vs-1win-m1-train,2,0.03333333333333333,0.7815734989648034,0.011502552650185856,0.3198162698712543,0.027643270180057355,0.0,0.0,0
ence-vs-1win-m1-train,3,0.02,0.7034161490683231,0.001016593483801034,0.3993867877804453,0.013586573268769685,0.0,0.0,1
