total_kills,headshot_rate,avg_kill_distance,std_kill_distance,total_damage,avg_damage_per_kill,kill_spread,unique_killers,prop_rifle,prop_awp,prop_pistol,prop_smg,prop_headshot,prop_special,aggression_index,precision_index,range_preference,team_play_index,kill_consistency,economy_tier,skill_expression,match,round,winner,map
0.20000000000000007,0.8571428571428571,0.5823751095136764,0.3045140574181172,0.180327868852459,0.3435953429307256,0.06377647862728722,0.375,0.0,0.0,1.0,0.0,0.8035714285714286,0.2,0.0646061350946617,0.5443010282213957,0.5823751095136764,0.375,0.6941816915942334,0.25,0.7893386545039909,furia-vs-aurora-m3-overpass,3,T,overpass
0.20000000000000007,0.7142857142857143,0.415292843332546,0.3209402533300227,0.11696942844483826,0.21121779275804367,0.28782932199529265,0.25,0.26785714285714285,0.0,0.0,1.0,0.6696428571428571,0.2,0.008466525213487362,0.34930358054400934,0.41529284333254596,0.25,0.555915660255371,0.5,0.6707525655644243,furia-vs-aurora-m3-overpass,4,T,overpass
0.20000000000000007,0.2857142857142857,0.2842446667546484,0.3093495364758743,0.13513513513513514,0.24917219525510634,0.26565940323437853,0.375,0.4017857142857143,0.14285714285714285,0.2857142857142857,0.25,0.26785714285714285,0.0,0.011117404028565432,0.15168088674979946,0.2842446667546483,0.375,0.3917045077060021,0.6071428571428571,0.31499429874572404,furia-vs-aurora-m3-overpass,5,T,overpass
0.20000000000000007,0.42857142857142855,0.6377879207126324,0.471751989433274,0.14311032343819227,0.26583510366845087,0.1785235239035254,0.375,0.8035714285714286,0.14285714285714285,0.0,0.0,0.4017857142857143,0.2,0.019892793331689165,0.23539706847516956,0.6377879207126322,0.375,0.5657206414943321,0.7857142857142857,0.5114025085518815,furia-vs-aurora-m3-overpass,6,CT,overpass
0.20000000000000007,0.42857142857142855,0.44037683793101384,0.3164633453386941,0.0819672131147541,0.1380861391661425,0.08928707007820211,0.375,0.8035714285714286,0.0,0.0,0.0,0.4017857142857143,0.0,0.028656059275228164,0.1750164077882302,0.4403768379310138,0.375,0.5856137029833248,0.6428571428571428,0.35575826681870015,furia-vs-aurora-m3-overpass,7,CT,overpass
0.20000000000000007,0.42857142857142855,0.3708250352430698,0.34945378073277106,0.07930881701373504,0.13253183636169427,0.4154835117556247,0.5,0.8035714285714286,0.0,0.0,0.0,0.4017857142857143,0.0,0.0019198432999253225,0.1723911616714067,0.3708250352430698,0.5,0.46240771759614036,0.6428571428571428,0.35575826681870015,furia-vs-aurora-m3-overpass,8,T,overpass
0.20000000000000007,0.8571428571428571,0.48054711490204255,0.5061050065519752,0.21798848028356227,0.4222812993270749,0.35611064712879303,0.25,0.9375,0.0,0.0,0.0,0.8035714285714286,0.2,0.011801739121728695,0.6186830015313936,0.4805471149020425,0.25,0.3897460424685887,0.75,0.7893386545039909,furia-vs-aurora-m3-overpass,9,T,overpass
0.20000000000000007,0.42857142857142855,0.4378855465075099,0.24544472797911665,0.06867523260965883,0.11031462514390153,0.09925847189532558,0.375,0.6696428571428571,0.0,0.0,0.5,0.4017857142857143,0.0,0.02329945913156331,0.1618901772041129,0.4378855465075098,0.375,0.6768850800333521,0.6785714285714285,0.35575826681870015,furia-vs-aurora-m3-overpass,10,T,overpass
0.20000000000000007,0.7142857142857143,0.5193574194387709,0.2982563349731969,0.3393885688967656,0.6759277940635422,0.22503986029914205,0.375,0.8035714285714286,0.14285714285714285,0.0,0.0,0.6696428571428571,0.2,0.033062820961536,0.7153795668343909,0.5193574194387709,0.375,0.6659151102711371,0.7857142857142857,0.7485746864310149,furia-vs-aurora-m3-overpass,11,T,overpass
0.20000000000000007,0.42857142857142855,0.25241334278331307,0.20736100522338732,0.11741249446167479,0.2121435098921183,0.16665401260344695,0.125,0.8035714285714286,0.0,0.14285714285714285,0.0,0.4017857142857143,0.6000000000000001,0.0184622361336868,0.21001968934587617,0.252413342783313,0.125,0.5457937598447085,0.6785714285714285,0.5892246294184721,furia-vs-aurora-m3-overpass,12,CT,overpass
0.20000000000000007,0.42857142857142855,0.5702647056111951,0.2521619112386061,0.13424900310146212,0.24732076098695685,0.16513552501708298,0.5,0.8035714285714286,0.14285714285714285,0.0,0.0,0.4017857142857143,0.2,0.020721964375939098,0.22664624808575803,0.570264705611195,0.5,0.7416228893157479,0.7857142857142857,0.5114025085518815,furia-vs-aurora-m3-overpass,13,CT,overpass
0.20000000000000007,0.5714285714285714,0.3478428479135466,0.3586137651224647,0.1914045192733717,0.36673827128259295,0.5454913572748209,0.375,0.13392857142857142,0.14285714285714285,0.5714285714285714,0.0,0.5357142857142857,0.4,0.00438734872447477,0.37745205279661637,0.3478428479135465,0.375,0.4144881520696517,0.39285714285714285,0.7078107183580389,furia-vs-aurora-m3-overpass,14,T,overpass
0.20000000000000007,0.7142857142857143,0.6220393934492965,0.46222992461337703,0.12095702259636684,0.21954924696471587,0.15316478121124694,0.5,0.13392857142857142,0.0,0.7142857142857142,0.25,0.6696428571428571,0.0,0.020869652510120313,0.35586669583606795,0.6220393934492964,0.5,0.5641609127659933,0.3571428571428571,0.5929304446978336,furia-vs-aurora-m3-overpass,15,T,overpass
0.20000000000000007,0.42857142857142855,0.30888536179694925,0.113394896779184,0.1586176340274701,0.29823520336106535,0.1555437450965505,0.125,0.6696428571428571,0.14285714285714285,0.0,0.25,0.4017857142857143,0.0,0.025338524480657716,0.2507110041566397,0.3088853617969492,0.125,0.7933832381069796,0.75,0.4335803876852908,furia-vs-aurora-m3-overpass,16,T,overpass
