player_name,match_id,map_name,kills,deaths,kd_ratio,kills_per_round,headshot_percentage,avg_kill_distance,opening_kills,opening_kill_rate,rounds_with_2k,rounds_with_3k,multi_kill_rate,awp_kills,rifle_kills,assists,assist_per_round
Anlelele,ecstatic-vs-havu-m3-overpass,de_overpass,24,25,0.96,0.6857142857142857,37.5,16.3265605375,2,0.05714285714285714,7,2,0.2,0,18,6,0.17142857142857143
ottob,ecstatic-vs-havu-m3-overpass,de_overpass,25,18,1.3888888888888888,0.7142857142857143,24.0,23.2210252,4,0.11428571428571428,7,1,0.2,17,5,7,0.2
Uli,ecstatic-vs-havu-m3-overpass,de_overpass,36,18,2.0,1.0285714285714285,58.333333333333336,19.32218960388889,2,0.05714285714285714,7,5,0.2,1,30,4,0.11428571428571428
acoR,ecstatic-vs-havu-m3-overpass,de_overpass,20,24,0.8333333333333334,0.5714285714285714,20.0,18.634233974999997,8,0.22857142857142856,3,2,0.08571428571428572,14,0,5,0.14285714285714285
TMB,ecstatic-vs-havu-m3-overpass,de_overpass,18,24,0.75,0.5142857142857142,72.22222222222221,11.522978527777777,2,0.05714285714285714,3,2,0.08571428571428572,0,15,15,0.42857142857142855
puuha,ecstatic-vs-havu-m3-overpass,de_overpass,21,25,0.84,0.6,42.857142857142854,18.65518624761905,2,0.05714285714285714,5,2,0.14285714285714285,2,15,3,0.08571428571428572
sirah,ecstatic-vs-havu-m3-overpass,de_overpass,25,24,1.0416666666666667,0.7142857142857143,44.0,13.345321094,6,0.17142857142857143,5,2,0.14285714285714285,0,20,2,0.05714285714285714
nut nut,ecstatic-vs-havu-m3-overpass,de_overpass,24,21,1.1428571428571428,0.6857142857142857,62.5,15.044225855833332,1,0.02857142857142857,7,0,0.2,1,18,13,0.37142857142857144
p3kko,ecstatic-vs-havu-m3-overpass,de_overpass,15,25,0.6,0.42857142857142855,60.0,16.200273619999997,3,0.08571428571428572,3,0,0.08571428571428572,0,11,12,0.34285714285714286
alxc,ecstatic-vs-havu-m3-overpass,de_overpass,21,25,0.84,0.6,57.14285714285714,15.290486352380956,4,0.11428571428571428,8,1,0.22857142857142856,0,18,6,0.17142857142857143
HObbit,ence-vs-1win-m1-train,de_train,21,22,0.9545454545454546,0.6,47.61904761904761,19.70516746666667,4,0.11428571428571428,5,0,0.14285714285714285,0,20,13,0.37142857142857144
interz,ence-vs-1win-m1-train,de_train,15,21,0.7142857142857143,0.42857142857142855,53.333333333333336,16.182673066666666,0,0.0,4,0,0.11428571428571428,0,13,8,0.22857142857142856
sdy,ence-vs-1win-m1-train,de_train,24,23,1.0434782608695652,0.6857142857142857,41.66666666666667,23.142848775,4,0.11428571428571428,4,4,0.11428571428571428,1,19,12,0.34285714285714286
oz1k,ence-vs-1win-m1-train,de_train,24,22,1.0909090909090908,0.6857142857142857,58.333333333333336,16.531222908333334,0,0.0,6,0,0.17142857142857143,0,21,2,0.05714285714285714
podi,ence-vs-1win-m1-train,de_train,24,20,1.2,0.6857142857142857,41.66666666666667,20.243084808333336,3,0.08571428571428572,5,2,0.14285714285714285,11,11,4,0.11428571428571428
cronuss,ence-vs-1win-m1-train,de_train,31,23,1.3478260869565217,0.8857142857142857,58.06451612903226,13.656787202258066,9,0.2571428571428571,8,2,0.22857142857142856,0,24,10,0.2857142857142857
Neityu,ence-vs-1win-m1-train,de_train,18,26,0.6923076923076923,0.5142857142857142,50.0,15.75291638888889,5,0.14285714285714285,4,0,0.11428571428571428,0,16,13,0.37142857142857144
