reason,round,tick,winner
,1,1,
t_killed,2,2465,CT
t_killed,3,5873,CT
ct_killed,4,9202,T
ct_killed,5,15755,T
bomb_exploded,6,25685,T
bomb_exploded,7,36212,T
bomb_exploded,8,49640,T
ct_killed,9,55204,T
t_killed,10,62135,CT
bomb_exploded,11,69656,T
bomb_exploded,12,82133,T
ct_killed,13,88911,T
ct_killed,14,112357,T
ct_killed,15,118696,T
bomb_exploded,16,125367,T
ct_killed,17,134410,T
bomb_defused,18,141332,CT
t_killed,19,144277,CT
t_killed,20,152613,CT
bomb_defused,21,161930,CT
