assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,frozen,76561198068422762,Twistzz,76561198016255205,False,False,13.443038,5,25,0,False,chest,False,False,0,0,False,45052,Jimpphat,76561198855375325,m4a1_silencer,17293822569109651516,41487540675,,0
False,xertioN,76561198193174134,Spinx,76561198063336407,False,False,18.955866,1,110,0,False,chest,False,False,0,0,False,45096,frozen,76561198068422762,awp,17293822569102704649,0,,0
False,karrigan,76561197989430253,Twistzz,76561198016255205,False,False,17.659834,5,24,0,False,chest,False,False,0,0,False,45176,Spinx,76561198063336407,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,Twistzz,76561198016255205,False,False,33.22727,15,105,0,True,head,False,False,0,0,False,50673,Brollan,76561198138828475,ak47,17293822569150152711,44242811351,,0
False,,,Twistzz,76561198016255205,False,False,34.123013,15,106,0,True,head,False,False,0,0,False,50692,Jimpphat,76561198855375325,ak47,17293822569150152711,44242811351,,0
False,,,xertioN,76561198193174134,False,False,6.7130737,5,106,0,True,head,False,False,0,0,False,50934,rain,76561197997351207,tec9,17293822569118957598,40641466775,,0
False,,,Twistzz,76561198016255205,False,False,22.151005,4,33,0,False,stomach,False,False,0,0,True,51191,Spinx,76561198063336407,ak47,17293822569150152711,44242811351,,0
False,,,Twistzz,76561198016255205,False,False,24.889702,15,107,0,True,head,False,False,0,0,True,51238,torzsi,76561198355739212,ak47,17293822569150152711,44242811351,,0
False,,,karrigan,76561197989430253,False,False,30.840853,4,23,0,False,chest,False,False,0,0,False,52002,xertioN,76561198193174134,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,24.431469,0,113,0,False,right_arm,False,False,0,0,False,55867,xertioN,76561198193174134,awp,17293822569125249033,44092273201,,0
False,,,Spinx,76561198063336407,False,False,10.380604,6,169,0,True,head,False,False,0,0,False,56369,rain,76561197997351207,deagle,17293822569105129473,44281822131,,0
False,rain,76561197997351207,broky,76561198201620490,False,False,17.807531,0,142,0,False,stomach,False,False,0,0,False,56688,Spinx,76561198063336407,awp,17293822569125249033,44092273201,,0
False,Spinx,76561198063336407,Jimpphat,76561198855375325,False,False,16.763372,1,40,0,False,chest,False,False,0,0,False,57178,broky,76561198201620490,deagle,17293822569105129473,44403672075,,0
False,,,torzsi,76561198355739212,False,False,19.687025,4,83,0,True,head,False,False,0,0,False,57465,Twistzz,76561198016255205,tec9,17293822569127215134,20141595008,,0
False,,,frozen,76561198068422762,False,False,15.752922,0,21,0,False,chest,False,False,2,0,False,57485,torzsi,76561198355739212,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,Jimpphat,76561198855375325,False,False,18.057829,5,154,0,True,head,False,False,0,0,False,57559,karrigan,76561197989430253,deagle,17293822569105129473,44403672075,,0
False,,,frozen,76561198068422762,False,False,8.68565,0,45,0,False,stomach,False,False,0,0,False,58137,Jimpphat,76561198855375325,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,Brollan,76561198138828475,False,False,8.331696,4,23,0,False,chest,False,False,0,0,False,58302,frozen,76561198068422762,m4a1,17293822569184952336,30149111559,,0
False,,,,,False,False,0.0,0,424,0,False,generic,False,False,0,0,False,59785,Brollan,76561198138828475,planted_c4,,,,0
