player_name,cluster,role,num_matches,kd_ratio,kills_per_round,opening_kill_rate,multi_kill_rate
-khaN,0,Entry Fragger,1,1.6923076923076923,0.9166666666666666,0.08333333333333333,0.20833333333333334
1NVISIBLEE,1,Balanced Player,1,1.3529411764705883,1.0,0.08695652173913043,0.2608695652173913
1eeR,1,Balanced Player,1,0.5555555555555556,0.4166666666666667,0.08333333333333333,0.041666666666666664
Anlelele,1,Balanced Player,1,0.96,0.6857142857142857,0.05714285714285714,0.2
AquaRS,1,Balanced Player,2,0.9782608695652174,0.7075757575757575,0.09545454545454546,0.19696969696969696
BENZENE,1,Balanced Player,1,0.8,0.631578947368421,0.05263157894736842,0.15789473684210525
Banjo,1,Balanced Player,2,1.5219298245614035,0.8833333333333333,0.1015151515151515,0.23636363636363636
Bhavi,1,Balanced Player,1,0.875,0.7368421052631579,0.10526315789473684,0.21052631578947367
Brollan,1,Balanced Player,2,2.5625,0.8,0.03333333333333333,0.15833333333333333
Djon8,1,Balanced Player,1,1.0714285714285714,0.6521739130434783,0.0,0.21739130434782608
EmbeR,1,Balanced Player,1,0.6923076923076923,0.47368421052631576,0.0,0.15789473684210525
F0R3VER,1,Balanced Player,2,1.40625,0.8954545454545454,0.13484848484848483,0.26515151515151514
FenomeN--,0,Entry Fragger,1,1.8181818181818181,0.8695652173913043,0.08695652173913043,0.21739130434782608
FinigaN,1,Balanced Player,2,0.625,0.4545454545454546,0.0393939393939394,0.0787878787878788
HObbit,1,Balanced Player,1,0.9545454545454546,0.6,0.11428571428571428,0.14285714285714285
Jimpphat,1,Balanced Player,2,1.5,0.6166666666666667,0.15833333333333333,0.06666666666666667
KIRO,1,Balanced Player,1,0.3333333333333333,0.20833333333333334,0.0,0.0
MartinezSa,1,Balanced Player,2,0.35,0.23333333333333334,0.0,0.03333333333333333
Neityu,1,Balanced Player,1,0.6923076923076923,0.5142857142857142,0.14285714285714285,0.11428571428571428
Rage,0,Entry Fragger,1,1.7272727272727273,1.0,0.42105263157894735,0.21052631578947367
SPine,1,Balanced Player,1,0.9230769230769231,0.631578947368421,0.05263157894736842,0.15789473684210525
SoLb,1,Balanced Player,1,0.5238095238095238,0.4782608695652174,0.17391304347826086,0.13043478260869565
Sowalio,1,Balanced Player,1,1.5384615384615385,0.8333333333333334,0.16666666666666666,0.2916666666666667
Spinx,0,Entry Fragger,2,2.5,0.8,0.225,0.225
TMB,1,Balanced Player,1,0.75,0.5142857142857142,0.05714285714285714,0.08571428571428572
TriBorgg1,1,Balanced Player,2,1.05,0.7075757575757575,0.0393939393939394,0.16818181818181818
Uli,1,Balanced Player,1,2.0,1.0285714285714285,0.05714285714285714,0.2
Xant3r,1,Balanced Player,1,1.1818181818181819,0.5416666666666666,0.125,0.125
