player_name,match_id,cluster
sirah,ecstatic-vs-havu-m3-overpass,0
Uli,ecstatic-vs-havu-m3-overpass,0
alxc,ecstatic-vs-havu-m3-overpass,0
ottob,ecstatic-vs-havu-m3-overpass,0
p3kko,ecstatic-vs-havu-m3-overpass,0
puuha,ecstatic-vs-havu-m3-overpass,0
nut nut,ecstatic-vs-havu-m3-overpass,0
Anlelele,ecstatic-vs-havu-m3-overpass,0
TMB,ecstatic-vs-havu-m3-overpass,0
acoR,ecstatic-vs-havu-m3-overpass,0
interz,ence-vs-1win-m1-train,0
myltsi,ence-vs-1win-m1-train,0
Neityu,ence-vs-1win-m1-train,0
lattykk,ence-vs-1win-m1-train,0
podi,ence-vs-1win-m1-train,0
HObbit,ence-vs-1win-m1-train,0
rigoN,ence-vs-1win-m1-train,0
oz1k,ence-vs-1win-m1-train,0
cronuss,ence-vs-1win-m1-train,0
sdy,ence-vs-1win-m1-train,0
⑳ 🜲 hardzao,fake-do-biru-vs-oddik-m1-dust2,1
⑳ 🜲 ★ coldzeraa,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ✓ detr0ittJ,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ✓ lukiz,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ⦻ ksloks,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ⦻ naitte,fake-do-biru-vs-oddik-m1-dust2,0
⑲ ✓ PKL,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ⦻ ★ woody,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ✓ ★ Ceruttera,fake-do-biru-vs-oddik-m1-dust2,0
⑳ ✓ xureba,fake-do-biru-vs-oddik-m1-dust2,0
⑲ PKL,fake-do-biru-vs-oddik-m2-train,0
⑳ coldzeraa,fake-do-biru-vs-oddik-m2-train,0
⑳ naitte,fake-do-biru-vs-oddik-m2-train,0
⑳ hardzao,fake-do-biru-vs-oddik-m2-train,1
⑳ lukiz,fake-do-biru-vs-oddik-m2-train,0
⑳ xureba,fake-do-biru-vs-oddik-m2-train,0
⑳ Ceruttera,fake-do-biru-vs-oddik-m2-train,0
⑳ woody,fake-do-biru-vs-oddik-m2-train,0
⑳ ksloks,fake-do-biru-vs-oddik-m2-train,0
⑳ detr0ittJ,fake-do-biru-vs-oddik-m2-train,1
EmbeR,kaleido-vs-arise-m2-inferno,0
expSasiKi,kaleido-vs-arise-m2-inferno,0
reV3nnn,kaleido-vs-arise-m2-inferno,0
clouda,kaleido-vs-arise-m2-inferno,0
suki,kaleido-vs-arise-m2-inferno,0
BENZENE,kaleido-vs-arise-m2-inferno,0
rubeN,kaleido-vs-arise-m2-inferno,0
Rage,kaleido-vs-arise-m2-inferno,0
Bhavi,kaleido-vs-arise-m2-inferno,0
SPine,kaleido-vs-arise-m2-inferno,0
MartinezSa,mouz-vs-gentle-mates-m1-inferno-p2,0
sausoL,mouz-vs-gentle-mates-m1-inferno-p2,0
alex ,mouz-vs-gentle-mates-m1-inferno-p2,0
dav1g,mouz-vs-gentle-mates-m1-inferno-p2,0
torzsi,mouz-vs-gentle-mates-m1-inferno-p2,0
mopoz,mouz-vs-gentle-mates-m1-inferno-p2,0
Spinx,mouz-vs-gentle-mates-m1-inferno-p2,0
Jimpphat,mouz-vs-gentle-mates-m1-inferno-p2,0
Brollan,mouz-vs-gentle-mates-m1-inferno-p2,0
xertioN,mouz-vs-gentle-mates-m1-inferno-p2,0
Sowalio,nemiga-vs-tpudcatb-tpu-m1-dust2,0
executor,nemiga-vs-tpudcatb-tpu-m1-dust2,0
KIRO,nemiga-vs-tpudcatb-tpu-m1-dust2,0
