Method,N_Clusters,Silhouette_Score,Davies_Bouldin,Calinski_Harabasz
KMEANS,2,0.7820258190402872,0.4792823487047517,101.90103055745814
HIERARCHICAL,2,0.5184994874171934,0.7662203516447037,N/A
